"","session","person","choice","is_other","story_1","story_2","minus_positive_sync","minus_negative_sync","minus_positive_listener_mean","minus_negative_listener_mean","negative_set_mean_corr_to_actress_1","negative_set_mean_corr_to_actress_2","postive_set_mean_corr_to_actress_1","postive_set_mean_corr_to_actress_2","nasalis_mean_corr_1","nasalis_mean_corr_2","zygomaticus_major_mean_corr_1","zygomaticus_major_mean_corr_2","frontalis_mean_corr_1","frontalis_mean_corr_2","orbicularis_oculi_mean_corr_1","orbicularis_oculi_mean_corr_2","platysima_mean_corr_1","platysima_mean_corr_2","risorius_mean_corr_1","risorius_mean_corr_2","listener_mean_negative_set_activation_1","listener_mean_negative_set_activation_2","listener_mean_positive_set_activation_1","listener_mean_positive_set_activation_2","frontalis_mean_activation_1","frontalis_mean_activation_2","nasalis_mean_activation_1","nasalis_mean_activation_2","zygomaticus_major_mean_activation_1","zygomaticus_major_mean_activation_2","orbicularis_oculi_mean_activation_1","orbicularis_oculi_mean_activation_2","platysima_mean_activation_1","platysima_mean_activation_2","risorius_mean_activation_1","risorius_mean_activation_2","minus_frontalis","minus_nasalis","minus_zygomaticus_major","minus_orbicularis_oculi","minus_platysima","minus_risorius"
"230","30112022_0830","30112022_0830_B","1","1","3","11",-0.0604055441335044,-0.0150607487752148,-0.0677052859535835,-0.0101185928880875,0.390025712465246,0.401953512609283,0.372392530727512,0.420273982793135,0.418205643466862,0.43570546270913,0.443696532729522,0.535065323287911,0.36867686041077,0.40677650202745,0.372392530727512,0.420273982793135,0.440519133052095,0.444098929650919,0.339532291878398,0.359808095567647,0.847838405712863,0.865171657152191,0.625055099078466,0.715840842217939,0.388832593279749,0.38893153037809,0.411187383908019,0.413871102009251,0.590288793188842,0.803164215497325,0.625055099078466,0.715840842217939,0.731158028809366,0.818219965167209,0.964518782616359,0.912123349137173,-0.000127207073882143,-0.00325276104305304,-0.15276828208882,-0.0677052859535835,-0.0561915405384024,0.0279197789459345
"231","30112022_0830","30112022_0830_A","1","0","8","16",-0.0181380520911533,-0.0335995061223106,-0.00570041540847928,-0.0361260777013663,0.428153073402839,0.457924854154652,0.355577818355527,0.368715080687624,0.368009006159063,0.376715149613927,0.33335556081872,0.349814043661247,0.356992696981864,0.364701320587755,0.355577818355527,0.368715080687624,0.445792189600397,0.481068991280947,0.410513957205281,0.434780717028356,0.386480760579968,0.415451425028485,0.587000622915778,0.593731285278532,0.699579516480306,0.688382979325676,0.806693427692097,0.807059543264301,0.163368747262837,0.162834434491767,0.587000622915778,0.593731285278532,0.251808368220349,0.261804693432601,0.521153152939586,0.569098156624369,0.00806688738958205,-0.000226872129001686,0.00163797535080802,-0.00570041540847928,-0.0194627550554901,-0.0439761028161101
"232","30112022_0830","30112022_0830_B","1","0","8","16",-0.0551566476028101,0.0189167907446715,-0.0231837877206083,-0.0142088772483533,0.381820100245788,0.367642669852909,0.35080753461728,0.39176536644031,0.400859914859784,0.447541020845153,0.437728485480294,0.441884223092545,0.330555076215464,0.353672295323884,0.35080753461728,0.39176536644031,0.411664259977596,0.417163606114508,0.35197594051398,0.31812173359131,0.787897301215186,0.810610299494226,0.486816411412251,0.509924644464104,0.367125062097757,0.368788053817663,0.313030962420523,0.431225903946713,0.321469479105149,0.365188589052657,0.486816411412251,0.509924644464104,0.620233351164121,0.630117583652928,0.955561251266251,0.991103015335524,-0.00225976638266235,-0.158809339715073,-0.0636694039943339,-0.0231837877206083,-0.00790516663248068,-0.0182577780252354
"233","02052023_1230","02052023_1230_A","0","1","16","8",-0.0224169121638466,-0.023811941214413,0.00148308745867517,-0.00281290249236096,0.336379209795467,0.352789658371052,0.334195543328621,0.349522388143273,0.4390726202231,0.371286441661209,0.503509412547866,0.522842787450274,0.347088884775287,0.330636628194037,0.334195543328621,0.349522388143273,0.343438670741947,0.355872433270943,0.329319748848987,0.349706883471161,0.912833938423769,0.917983850344855,0.925558237843201,0.922816935804238,0.926442873112259,0.934342109899376,0.419365666532747,0.441762981481125,0.332622527482815,0.256998855012737,0.925558237843201,0.922816935804238,0.911151178709178,0.916448618074082,0.91451669813836,0.919519082615628,-0.00424510991825227,-0.0260092554115287,0.128258022377011,0.00148308745867517,-0.00289857734402684,-0.00272752829021223
"234","02052023_1230","02052023_1230_B","0","1","16","8",0.0267793911893891,0.00994499750833986,0.113575000913329,0.0868570884948226,0.461424130843505,0.45233678085346,0.427807247095534,0.405492000564619,0.362274717413223,0.368020127838454,0.437384272031626,0.404294918216198,0.406477212051277,0.436173428622319,0.427807247095534,0.405492000564619,0.423004398595066,0.444191968462693,0.499843863091944,0.460481593244228,0.0999135088476703,0.0839441664719792,0.263737796349397,0.209939856494974,0.339973508616944,0.330315831005862,0.363973540545455,0.338670292385638,0.101899491038977,0.0773294925908348,0.263737796349397,0.209939856494974,0.120739036386007,0.104803549560029,0.0790879813093336,0.0630847833839291,0.014408222002333,0.0360114854410148,0.137087193993635,0.113575000913329,0.0706540042499581,0.112561628522392
"235","02052023_1230","02052023_1230_A","1","0","10","5",-0.0443688597900363,-0.0275393925267639,-0.000796475779748954,0.00179584606296588,0.330393856530572,0.349106894433606,0.30641486340626,0.334867846026873,0.428886712809528,0.353624810498621,0.372250887531978,0.345406804194834,0.359969544230555,0.353923176919616,0.30641486340626,0.334867846026873,0.324099287995509,0.351065464813016,0.336688425065636,0.347148324054195,0.919139987546231,0.915844637631503,0.92620557746828,0.927682154144883,0.938837134586278,0.92586997279657,0.451062760897275,0.483004585704262,0.251938589450333,0.230378002753717,0.92620557746828,0.927682154144883,0.917355636241818,0.911951444447368,0.920924338850644,0.919737830815638,0.00695399386765232,-0.0341964901387481,0.0447021459454459,-0.000796475779748954,0.00295422887250531,0.00064460934470204
"236","02052023_1230","02052023_1230_B","0","0","10","5",-0.030340214751297,0.0342421278971695,0.0496735812138016,0.118479986693813,0.455615518319445,0.425446093908257,0.41238667569457,0.438193459664553,0.391011982062673,0.37081110484121,0.399541234548218,0.395137079786645,0.414099663731529,0.429917188052845,0.41238667569457,0.438193459664553,0.46402313464764,0.394194191879307,0.44720790199125,0.456697995937208,0.114043313260717,0.0898822189212665,0.230967011300878,0.209106961093086,0.366077987392906,0.334697793358646,0.346134745860068,0.329529192474558,0.0968670883769406,0.0766013937804929,0.230967011300878,0.209106961093086,0.12000165850449,0.103378872112648,0.108084968016944,0.0763855657298851,0.0447792216800159,0.0245766459379788,0.116826378742712,0.0496735812138016,0.0744146606954415,0.171839922849485
"237","02052023_1230","02052023_1230_A","1","0","3","11",0.0269579000533827,-0.0256879708573198,-0.00120535366853522,-0.00248804865412426,0.322923436799571,0.339951344873234,0.316526265068895,0.299908478852821,0.392903850876048,0.38286742347974,0.425514573861195,0.374341190380141,0.331295402101809,0.316267141506392,0.316526265068895,0.299908478852821,0.3266266177737,0.33995381918938,0.319220255825442,0.339948870557088,0.912250219810495,0.916800988206927,0.925119922431023,0.927352807231583,0.923997266907312,0.940358258175804,0.539661555554286,0.492966629338994,0.250810388765925,0.230739999680135,0.925119922431023,0.927352807231583,0.909200941194568,0.912822239892092,0.915299498426421,0.920779736521762,-0.00877568202436213,0.0452194961346299,0.0416786894317673,-0.00120535366853522,-0.00198751516177957,-0.00298475032614551
"238","02052023_1230","02052023_1230_B","1","0","3","11",0.0222269809376855,-0.07012267539416,-0.0101482888772056,-0.0196692228824436,0.371776110524368,0.427847884354651,0.421459526096774,0.403131360185978,0.39687813509469,0.42477070093127,0.376712124621845,0.39189752166192,0.416917475387298,0.430014106019692,0.421459526096774,0.403131360185978,0.380007209048685,0.456225316735064,0.363545012000052,0.399470451974238,0.0791172254380153,0.0822920198590503,0.203646839838839,0.207822550071779,0.337910679914803,0.342214026365375,0.439786311371647,0.387850291606621,0.0799204995261989,0.0768890290410235,0.203646839838839,0.207822550071779,0.100126225508522,0.103751720783814,0.0581082253675083,0.0608323189342869,-0.00632729029078843,0.0627522025707092,0.0193321828901223,-0.0101482888772056,-0.0177826750819477,-0.0229029855443287
"239","02052023_1230","02052023_1230_A","0","1","12","6",-0.0749535655330342,-0.00313672611478892,-0.0411391637846424,-0.0380289133037359,0.348233018541298,0.350424515874795,0.317978494938863,0.369508063770138,0.401945691154765,0.467749072480057,0.354897515258004,0.5057704691103,0.357104212157593,0.349073144001937,0.317978494938863,0.369508063770138,0.337066301973648,0.359577390915231,0.359399735108948,0.341271640834359,0.918655210350811,0.991288285988119,0.931050094970031,1.01094202694185,0.92811134355458,1.01097578724782,0.518712481257492,1.34249375109815,0.282032916721474,1.19442210869443,0.931050094970031,1.01094202694185,0.914965253780019,0.990317339589982,0.922345166921603,0.992259232386256,-0.0427337391790883,-0.442606120439451,-0.617959352819396,-0.0411391637846424,-0.0395490338662476,-0.0365161938883705
