"","session","person","ListenerChoice","minus_positive_sync","minus_negative_sync","minus_positive_listener_mean","minus_negative_listener_mean","nasalis_mean_corr_1","nasalis_mean_corr_2","zygomaticus_major_mean_corr_1","zygomaticus_major_mean_corr_2","frontalis_mean_corr_1","frontalis_mean_corr_2","orbicularis_oculi_mean_corr_1","orbicularis_oculi_mean_corr_2","platysima_mean_corr_1","platysima_mean_corr_2","risorius_mean_corr_1","risorius_mean_corr_2","listener_mean_negative_set_activation_1","listener_mean_negative_set_activation_2","listener_mean_positive_set_activation_1","listener_mean_positive_set_activation_2"
"28","13112022_1530","13112022_1530_2","0",-0.00637789659623943,0.0562955789726031,0.000405631216491825,0.0372209041597098,0.407106348068201,0.387970822193247,0.3500240389662,0.31378088172742,0.317115036790964,0.313178718822588,0.29558244727485,0.307384373676777,0.32463808139292,0.297761104747968,0.376386554211214,0.328540908664037,0.377910479474133,0.350787675294145,0.910586299205809,0.909847874277476
"29","13122022_1215","13122022_1215_1","1",0.00874837232448865,0.0782442719575354,-0.00327369250315455,-0.0560485570754645,0.364084624095168,0.270970348758248,0.335559798559146,0.292529797208521,0.321493312188942,0.294867981215974,0.308243796325113,0.323946334572016,0.30867409049816,0.282496414386545,0.353943641726278,0.283953791809809,0.453397383465898,0.507239706215726,0.716359535014973,0.721065221664764
"30","13122022_1215","13122022_1215_2","0",0.0208301620458051,-0.0173915628629688,-0.0820721727011903,-0.136535852364793,0.301828423088462,0.327517649251336,0.405998096846504,0.314592931801556,0.316092462242082,0.315928600197771,0.365243839543814,0.337602203471872,0.34901626928554,0.316031316392636,0.357288626777879,0.415275901116547,0.251268875835326,0.330732997718968,0.581115482821747,0.685030864504487
"31","13122022_1215","13122022_1215_1","1",-0.010160713008131,0.0293680741161647,0.00623603490223767,0.042503905168263,0.359861058520483,0.311239247284637,0.358064874530496,0.312567200686013,0.301474593230181,0.322809775931373,0.36199270839523,0.354278526457873,0.356455859034021,0.33124673513643,0.364790129862978,0.348844673216383,0.406771615913245,0.373602661625008,0.678275222712168,0.669868153564486
"32","13122022_1215","13122022_1215_2","0",-0.0173775628256974,-0.0151281837576998,0.023335983443262,-0.151743413204841,0.346589389375495,0.347044069181306,0.373943674601221,0.325887298956772,0.317763983214925,0.325519661680234,0.333080622218928,0.34834516513838,0.383061342579399,0.394474660261968,0.409740896816589,0.42268335368925,0.257367877609048,0.349448224064675,0.629305583244457,0.600604423686025
"33","13122022_1415","13122022_1415_1","0",-0.0817851487665558,-0.0788543034625044,0.00507298880167289,-0.0950985482730136,0.315469847210024,0.352764934358986,0.352321203530111,0.39869687273736,0.329077494483823,0.373196840576555,0.330310027697391,0.403653618571881,0.328974518634653,0.368070139475854,0.349529096811111,0.426599529166228,0.15583629906626,0.188590817873047,0.521498516527659,0.516234110531457
"34","13122022_1415","13122022_1415_2","1",0.0425555373225415,0.0542926568195331,0.0526838986963634,0.0564587404956326,0.31664396800931,0.304122674137475,0.360670358571865,0.434411769498369,0.398222661725799,0.384985775848088,0.392324770632388,0.341023759854048,0.343738092385237,0.305119067211679,0.390108196403826,0.353145807901025,0.576514721905095,0.51489509810288,0.689168796735967,0.620186837162165
"35","13122022_1415","13122022_1415_1","1",0.0443903834976345,0.0752767651100962,0.123220664444285,0.0939645578983264,0.346574378465517,0.324065174742332,0.365743849731103,0.353677465901062,0.374237350403581,0.357329813747728,0.356634937646085,0.311413022198664,0.412637575534402,0.301364173567395,0.436321887857508,0.428729293297187,0.214398287905458,0.177567404872286,0.697931302539774,0.544801002220798
"36","13122022_1415","13122022_1415_2","1",-0.00778829231070616,0.0193412550572754,-0.00102183596852036,-0.0106050523389872,0.349425674720911,0.371450517853632,0.404139872357149,0.421027931066118,0.400136459991207,0.40288194193409,0.390433886293674,0.400099451108911,0.376928996244079,0.365553723290576,0.470244705804806,0.449470975531273,0.482878489445178,0.493230172897864,0.620038260708036,0.621306711650134
"37","14122022_1030","14122022_1030_1","1",0.00362749241212917,0.0175258582252975,0.00992471155517793,0.00392889474869861,0.32504726348303,0.360839404897575,0.308590597976242,0.327617391852894,0.38222946337673,0.350647115665231,0.290176502562948,0.316898187214183,0.295461384187654,0.290103694666723,0.335797348631655,0.319409446204351,0.640036340718586,0.635026752029229,0.679230548125562,0.665880706909713
"38","14122022_1030","14122022_1030_2","0",0.00411013897063154,0.0127522145676625,-0.0956946956429973,-0.0705424860591156,0.312626531536615,0.337908525294675,0.292395036609676,0.30217253361717,0.363961353986845,0.369030773498946,0.291257103316529,0.280823652885667,0.296621997900891,0.293763317089581,0.336520240657701,0.323434319103671,0.474185122873983,0.54616301732975,0.691246232756918,0.837543279869952
"39","14122022_1030","14122022_1030_1","1",0.00851627899966602,-0.0373869645331327,-0.00447475292742858,0.00142302744369458,0.347158167662815,0.350452072660847,0.293920718093363,0.292827909496626,0.375746646221079,0.381243796194594,0.327751956037046,0.310373608907948,0.285268268860925,0.305574991157606,0.339795176377225,0.368042180234362,0.643646975292832,0.641817723748196,0.667638097794761,0.673639985825938
